country,log_type,category,measure,comment,date
Afghanistan,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,,2020-12-02
Afghanistan,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,,2020-12-02
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,,2020-12-02
Afghanistan,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,,2020-12-02
Afghanistan,Introduction / extension of measures,Social distancing,Limit public gatherings,Nevruz festival cancelled,2020-12-03
Afghanistan,Introduction / extension of measures,Movement restrictions,Border closure,Closure of borders with Iran,2020-02-24
Afghanistan,Introduction / extension of measures,Social distancing,Schools closure,,2020-01-03
Afghanistan,Introduction / extension of measures,Social distancing,Limit public gatherings,all public gatherings banned,2020-01-03
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,,2020-01-03
Afghanistan,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,Food imports from Iran and Afghanistan has been limited,2020-01-03
Afghanistan,Introduction / extension of measures,Movement restrictions,Border checks,All China and Iran nationals,2020-01-02
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,MoPH begins announcements on their facebook to make public aware of coronavirus. ,2020-01-24
Afghanistan,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Health teams at airports will check passengers coming from China. ,2020-01-26
Afghanistan,Introduction / extension of measures,Movement restrictions,International flights suspension,Flights to China are suspended. ,2020-01-27
Afghanistan,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Health screenings of all passengers at airports. ,2020-01-27
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,the ministry has prepared 100 bed to control this virus in Kabul and 200 others in the province hospital with all the facilities needed in the country.,2020-02-02
Afghanistan,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,,2020-02-02
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. ",2020-04-02
